slug	name	installer_type	source_class	downloadURL	appNewVersion	team_id	pkg_receipt	appcatalog_url
sketchup-viewer	Sketchup Viewer	dmg	dynamic-scrape	$(curl -Lfs https://www.sketchup.com/en/sketchup-viewer/downloads | grep -o 'https://download.sketchup.com/SketchUpViewer[0-9\-]*.dmg')		J8PVMCY7KL		https://appcatalog.cloud/apps/sketchup-viewer
soundly	Soundly	dmg	direct	https://storage.googleapis.com/soundlyapp/Soundly.dmg		67Y6N7VTDG		https://appcatalog.cloud/apps/soundly
splashtop-sos	Splashtop Sos	dmg	direct	https://download.splashtop.com/sos/SplashtopSOS.dmg		CPQQ3AW49Y		https://appcatalog.cloud/apps/splashtop-sos
strongdm	Strongdm	dmg	direct	https://app.strongdm.com/downloads/client/darwin	"$(curl -fsLIXGET ""https://app.strongdm.com/downloads/client/darwin"" | grep -i ""^content-disposition"" | sed -e 's/.*filename\=\""SDM\-\(.*\)\.dmg\"".*/\1/')"	W5HSYBBJGA		https://appcatalog.cloud/apps/strongdm
surfdrive	Surfdrive	pkg	dynamic-scrape	"$(curl -fs https://servicedesk.surf.nl/wiki/spaces/WIKI/pages/74225443/Desktop+client+login|grep -Eo ""(http|https)://[a-zA-Z0-9./?=_%:-]*"" | grep pkg | grep arm64)"	"$(curl -fs https://servicedesk.surf.nl/wiki/spaces/WIKI/pages/74225443/Desktop+client+login|grep -Eo ""(http|https)://[a-zA-Z0-9./?=_%:-]*"" | grep pkg | grep arm |cut -d -f2)"	4AP2STM4H5		https://appcatalog.cloud/apps/surfdrive
synology-active-backup-for-business-agent	Synology Active Backup For Business Agent	pkgInDmg	dynamic-scrape	"$(appVersion=`curl -sf https://archive.synology.com/download/Utility/ActiveBackupBusinessAgent | grep -m 1 /download/Utility/ActiveBackupBusinessAgent/ | sed ""s|.*>\(.*\)<.*|\\1|""` && appShortVersion=`sed 's#.*-\(\)#\1#' <<< $appVersion` && echo https://global.download.synology.com/download/Utility/ActiveBackupBusinessAgent/""$appVersion""/Mac/x86_64/Synology%20Active%20Backup%20for%20Business%20Agent-""$appVersion"".dmg)"	"$(curl -sf https://archive.synology.com/download/Utility/ActiveBackupBusinessAgent | grep -m 1 /download/Utility/ActiveBackupBusinessAgent/ | sed ""s|.*>\(.*\)<.*|\\1|"" | sed ""s#.*-\(\)#\1#"")"	X85BAK35Y4	com.synology.activebackup-agent	https://appcatalog.cloud/apps/synology-active-backup-for-business-agent
synology-drive-client	Synology Drive Client	pkgInDmg	direct	https://global.download.synology.com/download/Utility/SynologyDriveClient/$appFullVersion/Mac/Installer/synology-drive-client-$appNewVersion.dmg	"$( echo $appFullVersion | sed s|.*-\(\)|\\1|"" )"""	X85BAK35Y4		https://appcatalog.cloud/apps/synology-drive-client
teamwire	Teamwire	dmg	direct	https://desktop.teamwire.eu/download.php?platform=darwinArm64	$(curl -fsI $downloadURL | grep -i 'Location' | cut -d ' ' -f2 | sed 's|.*dist/v\([^/]*\).*|\1|')	2JCSJ44B3U	eu.teamwire.app	https://appcatalog.cloud/apps/teamwire
things	Things	zip	direct	https://culturedcode.com/things/download/		JLMPQHK86H		https://appcatalog.cloud/apps/things
trint	Trint	zip	direct	https://desktopapp.trint.com/latest/darwin/arm64/Trint.zip	"$(getJSONValue ""$(curl -fsL https://desktopapp.trint.com/updates/darwin/arm64/RELEASES.json)"" ""currentRelease"" )"	4SN3PJXHG2		https://appcatalog.cloud/apps/trint
ultracompare	Ultracompare	dmg	direct	https://downloads.ultraedit.com/main/uc/mac/UltraCompare.dmg		2T4C9Y59FF		https://appcatalog.cloud/apps/ultracompare
