slug	status	registry_row	confidence	notes
sketchup-viewer	ineligible		high	SketchUp Viewer for Desktop discontinued; "Beginning April 22, 2025, SketchUp Viewer for Desktop will no longer be available to download" (help.sketchup.com/en/sketchup-viewer/sketchup-viewer-desktop). No public macOS dmg exists anymore; Installomator scrape now returns nothing. Reason: discontinued.
soundly	review		low	Only an unversioned always-latest dmg: https://storage.googleapis.com/soundlyapp/Soundly.dmg (HTTP 200, app/x-apple-diskimage, last-modified 2026-06-05). No public version feed/appcast (storage.googleapis.com/soundlyapp/*.xml and getsoundly version endpoints 403/404). Calendar version only on 3rd-party trackers (macupdater: 2025.12.23). No versioned URL + no livecheck. Reason: unversioned.
splashtop-sos	review		low	Only an unversioned always-latest dmg: https://download.splashtop.com/sos/SplashtopSOS.dmg (HTTP 200). Splashtop docs state the link "will always download the latest version"; no per-version URL. Latest noted v3.8.0.7 (support article, Apr 2026) but no machine-readable version feed. On-demand attended-support tool. Reason: unversioned.
strongdm	custom		high	Universal dmg. Stable alias https://app.strongdm.com/downloads/client/darwin 307-redirects to https://downloads.strongdm.com/builds/desktop/23.74.0/darwin-universal-full/AE48C598EF267EBBAE9EC238113422A66DD0846E/SDM-23.74.0.dmg (HTTP 200; content-disposition filename="SDM-23.74.0.dmg"). Version 23.74.0. Real URL contains a per-build hash segment (not derivable from version) so no stable versioned url template; custom. Livecheck: :header_match on the alias, regex SDM-(\d+(?:\.\d+)+)\.dmg. homepage https://www.strongdm.com (200). artifact=dmg, universal.
surfdrive	review		med	Gated. Installomator source page (servicedesk.surf.nl/wiki/.../74225443) is login-only (Confluence REST returns authorized:false / 404). SURF's public "Getting the Nextcloud desktop app" page (205193802) now directs users to the generic Nextcloud desktop client (nextcloud.com / Mac App Store), not a SURF-branded pkg. arm64 client noted v5.3.2 (Feb 2025) but no public SURF-branded versioned pkg URL. Reason: gated.
synology-active-backup-for-business-agent	custom		high	pkgInDmg (nested pkg). Versioned dmg verified HTTP 200: https://global.download.synology.com/download/Utility/ActiveBackupBusinessAgent/3.2.0-5053/Mac/x86_64/Synology%20Active%20Backup%20for%20Business%20Agent-3.2.0-5053.dmg (also on global.synologydownload.com). Version 3.2.0-5053 (full version used in both path and filename). Livecheck: :page_match on https://archive.synology.com/download/Utility/ActiveBackupBusinessAgent (latest dir, regex >([\d.-]+)<). Custom because pkgInDmg (inner pkg name resolved on-Mac after mounting) and the cask-master direct writer can't reference the inner pkg. artifact=pkg (nested). receipt hint com.synology.activebackup-agent. homepage https://www.synology.com/en-global/dsm/feature/active_backup_business (200).
synology-drive-client	custom		high	pkgInDmg (nested pkg). Versioned dmg verified HTTP 200: https://global.download.synology.com/download/Utility/SynologyDriveClient/4.0.3-17892/Mac/Installer/synology-drive-client-17892.dmg (also on global.synologydownload.com). Version 4.0.3-17892 -> version.csv "4.0.3,17892": URL path uses full "4.0.3-17892" but FILENAME uses only build "17892" (synology-drive-client-17892.dmg), so a single {v} cannot map both -> custom. Livecheck: :page_match on https://archive.synology.com/download/Utility/SynologyDriveClient. artifact=pkg (nested; inner pkg name resolved on-Mac). homepage https://www.synology.com/en-global/dsm/feature/drive (200).
teamwire	custom		high	Arch-split non-electron dmgs. https://desktop.teamwire.eu/download.php?platform=darwinArm64 302->https://desktop.teamwire.eu/dist/v4.7.2/teamwire-4.7.2-mac-arm64.dmg ; platform=darwin 302->https://desktop.teamwire.eu/dist/v4.7.2/teamwire-4.7.2-mac-x64.dmg . Version 4.7.2. Stable versioned url template: https://desktop.teamwire.eu/dist/v#{version}/teamwire-#{version}-mac-arm64.dmg and -mac-x64.dmg. Custom because arch-split (arm64/x64 separate dmgs) -> needs arch arm:/intel: mapping. Livecheck: :header_match on the download.php redirect, regex dist/v(\d+(?:\.\d+)+)/. receipt eu.teamwire.app. homepage https://www.teamwire.eu (200).
things	row	things | Things | Personal task manager and to-do list organizer | zip | direct | https://culturedcode.com/things/ | url=https://static.culturedcode.com/things/Things3.zip;vers=https://culturedcode.com/things/mac/help/releasenotes/;vregex=[0-9]+(\.[0-9]+)+	high	Verified live: https://culturedcode.com/things/download/ 302->https://static.culturedcode.com/things/Things3.zip (HTTP 200, application/zip, magic PK\x03\x04). Version 3.22.11 read from release-notes page (first [0-9]+(\.[0-9]+)+ match = 3.22.11; "Things for Mac 3.22.11"). URL unversioned but version concrete + page_match livecheck. Download host static.culturedcode.com != homepage host -> verified: auto-added. No existing 'things' cask (formulae.brew.sh + repo both 404; only thingsmacsandboxhelper exists).
trint	custom		high	Arch-split zips via electron-style RELEASES.json feed (not latest-mac.yml). arm64: https://desktopapp.trint.com/updates/darwin/arm64/Trint-darwin-arm64-0.1.22.zip ; x64: https://desktopapp.trint.com/updates/darwin/x64/Trint-darwin-x64-0.1.22.zip (both HTTP 200). Version 0.1.22 (currentRelease in both RELEASES.json). Custom: arch-split + .zip + JSON feed don't fit the electron source (which forces .dmg + latest-mac.yml). Livecheck: :json on https://desktopapp.trint.com/updates/darwin/arm64/RELEASES.json field currentRelease. artifact=zip. homepage https://trint.com (200).
