slug	status	registry_row	confidence	notes
everweb	custom		med	Live dmg https://www.ragesw.com/downloads/everweb/everweb.dmg (302 -> https://www.ragesw.com/files/everweb/everweb.dmg, 200 application/x-apple-diskimage, last-modified 2025-12-19). UNVERSIONED url (no versioned URL exists; legacy everweb<digits>.dmg pattern 404s for current). Current stable version 4.4.3 (changelog https://www.everwebapp.com/change-log/index.html). CUSTOM: url not version-templatable -> needs version :latest + sha256 :no_check; do NOT page_match the changelog (it lists 4.5.0 beta first while stable dmg is 4.4.3). homepage https://www.everwebapp.com/ (200).
final-draft-12	custom		high	Live zip https://www.finaldraft.com/downloads/finaldraft12011Mac.zip (200 application/zip, 133MB). Version 12.0.11 (filename digits 12011, scraped from https://www.finaldraft.com/support/install-final-draft/install-final-draft-12-macintosh/ which 200s). appInDmgInZip = .app inside .dmg inside .zip (3-level nested) -> CUSTOM: harness inspector cannot unwrap dmg-in-zip; filename strips dots (12.0.11->12011). Livecheck: page_match install page for finaldraft(\d+)Mac.zip. homepage https://www.finaldraft.com (200).
final-draft-13	custom		high	Live zip https://www.finaldraft.com/downloads/finaldraft1332Mac.zip (200 application/zip, 127MB). Version 13.3.2 (filename digits 1332, scraped from https://www.finaldraft.com/support/install-final-draft/install-final-draft-13-macintosh/ which 200s; min OS 12). appInDmgInZip (3-level nested) -> CUSTOM same as FD12: dmg-in-zip not inspectable by harness; dots stripped (13.3.2->1332). Livecheck: page_match install page. homepage https://www.finaldraft.com (200).
flowjo	custom		high	Arch-split dmgs (non-electron) verified 200: arm64 https://downloads.bdaccessportal.com/v11/mac/arm64/FlowJo-11.2.0-arm64.dmg (407MB), intel https://downloads.bdaccessportal.com/v11/mac/x64/FlowJo-11.2.0-x64.dmg (421MB). Version 11.2.0, min OS Ventura (13). CUSTOM: arch-split non-electron, no latest-mac.yml. Livecheck: scrape https://www.flowjo.com/flowjo/download for FlowJo-(\d+\.\d+\.\d+)-arm64.dmg. homepage https://www.flowjo.com (200).
grammarly	row	grammarly | Grammarly | Writing assistant for grammar, spelling, and style suggestions | dmg | direct | https://www.grammarly.com/desktop | url=https://download-mac.grammarly.com/versions/{v}/Grammarly.dmg;vers=https://download-mac.grammarly.com/appcast.xml;vregex=[0-9]+(\.[0-9]+)+	high	Sparkle appcast https://download-mac.grammarly.com/appcast.xml (200) gives version 1.169.1.0 (shortVersion 1.169.1) + versioned enclosure https://download-mac.grammarly.com/versions/1.169.1.0/Grammarly.dmg (verified 200, 104541427 bytes = same file as unversioned Grammarly.dmg). Use 4-part version 1.169.1.0 for URL path. Min OS 10.15 (catalina). verified: download-mac.grammarly.com auto-added (host != grammarly.com). bundle com.grammarly.ProjectLlama, team W8F64X92K3.
grasshopper	custom		low	Live dmg https://dl.grasshopper.com/Grasshopper.dmg (200 application/x-apple-diskimage, 207MB, last-modified 2026-02-24). UNVERSIONED url, NO version in headers/content-disposition and NO vendor version page found (third-party MacUpdate shows ~1.0.51, not authoritative). CUSTOM: needs version :latest + sha256 :no_check (no verifiable version source). bundle com.grasshopper.ghclient, team KD6L2PTK2Q. homepage https://grasshopper.com/ (200).
guardian-browser	custom		high	Electron arch-split with PER-ARCH latest-mac.yml feeds (version 3.14.0): arm feed https://production-archimedes-secure-browser-artifacts.s3.amazonaws.com/latest/mac-arm64/latest-mac.yml, intel feed .../latest/mac-x64/latest-mac.yml. Dmgs are UNVERSIONED (verified 200): arm https://production-archimedes-secure-browser-artifacts.s3.amazonaws.com/latest/mac-arm64/guardian-browser-arm64.dmg (264MB), intel .../latest/mac-x64/guardian-browser-x64.dmg (270MB). CUSTOM: two separate feeds + unversioned dmg filenames don't fit electron template (which needs one feed + versioned filenames). Proctoring browser, publicly downloadable. homepage https://guardian.meazurelearning.com/ (200).
huddly	custom		high	Live download https://app.huddly.com/download/latest/osx (200, content-disposition filename Huddly-3.6.3-osx-x64.dmg, 98MB). Version 3.6.3 from content-disposition; x64-only (osx-arm64/osx-universal 404). UNVERSIONED url -> CUSTOM: version only in content-disposition header (header_match livecheck), url not version-templatable. App is x64 (add caveats requires_rosetta on arm). homepage https://www.huddly.com (200), team J659R47HZT.
hudl-sportscode	custom		high	Live nested zip https://sportscode64-updates.s3.amazonaws.com/PublicReleaseDmgs/HudlSportscode-12.81.1.dmg.zip (200 application/zip, 127MB). Version 12.81.1, requires Sequoia 15.0+ (per hudl.com/downloads/elite, 200). appInDmgInZip = dmg-in-zip (nested) -> CUSTOM: harness inspector cannot unwrap dmg-in-zip. url is version-templatable (HudlSportscode-{v}.dmg.zip) but no clean static version page (elite page is JS-rendered). depends_on macos: :sequoia. homepage https://www.hudl.com/downloads/elite (200), team 4M6T2C723P.
hudl-studio	row	hudl-studio | Hudl Studio | Creates animated sports graphics and telestration for video | dmg | direct | https://www.hudl.com/downloads/elite | url=https://studio-releases.s3.amazonaws.com/Studio-{v}.dmg;version=2.2.8	high	Live versioned dmg https://studio-releases.s3.amazonaws.com/Studio-2.2.8.dmg (verified 200, 260MB). Version 2.2.8 (per hudl.com/downloads/elite, 200), min OS Monterey (12). Used bare version=2.2.8: elite page is JS-rendered (no static version) and S3 listing sorts 'Studio (alpha)' builds before stable so page_match is unreliable. verified: studio-releases.s3.amazonaws.com auto-added. Livecheck TODO (add later); team 2YLQ7PASUE. depends_on macos: :monterey.
