slug	status	registry_row	confidence	notes
acoustica	review		med	Acon Digital Acoustica (v7.7.8, bundle com.AconDigital.Acoustica). Reason: gated. Vendor downloads are account/login-only (acondigital.com routes to store/account; no public trial dmg URL exposed). Only third-party/cracked dmgs found. Homepage 200: https://acondigital.com/products/acoustica
agenda	review		high	Agenda by Momenta B.V. Reason: mas-only. agenda.com offers only the Mac App Store (id1287445660); no vendor-hosted direct dmg. MacUpdate CDN redirect (download.macupdate.com) is not the vendor. Homepage 200: https://agenda.com/
airradar	row	airradar | AirRadar | Scans for wireless networks and maps signal strength with GPS | dmg | direct | https://www.koingosw.com/products/airradar/ | url=https://www.koingosw.com/products/airradar/download/airradar.dmg;vers=https://www.koingosw.com/products/airradar/;vregex=Version (\d+(?:\.\d+)+)	high	"Koingo Software. Verified dmg HTTP 200 (application/x-apple-diskimage) at https://www.koingosw.com/products/airradar/download/airradar.dmg. Version 8.0 (""Version 8.0 - Released January 11, 2026"") on product page. URL is unversioned latest -> static url + version read live from product page via vregex."
akvis-airbrush	row	akvis-airbrush | AKVIS AirBrush | Turns photos into airbrush-style artwork | dmg | direct | https://akvis.com/en/airbrush/index.php | url=https://akvis-dl.sfo2.cdn.digitaloceanspaces.com/akvis-airbrush-app.dmg;vers=https://akvis.com/en/airbrush/index.php;vregex=AirBrush (\d+(?:\.\d+)+)	high	"AKVIS family (DigitalOcean Spaces CDN, unversioned latest dmg). Verified dmg HTTP 200. Version 9.6 (page title ""AKVIS AirBrush 9.6""). verified: auto-added (CDN host != homepage). vers=product page reads current version."
akvis-artifact-remover-ai	row	akvis-artifact-remover-ai | AKVIS Artifact Remover AI | Removes JPEG compression artifacts using neural networks | dmg | direct | https://akvis.com/en/artifact-remover/index.php | url=https://akvis-dl.sfo2.cdn.digitaloceanspaces.com/akvis-artifact-remover-app.dmg;vers=https://akvis.com/en/artifact-remover/index.php;vregex=Artifact Remover AI (\d+(?:\.\d+)+)	high	"AKVIS family. Verified dmg HTTP 200 at akvis-dl.sfo2.cdn.digitaloceanspaces.com/akvis-artifact-remover-app.dmg. Version 3.3 (download.php lists ""Artifact Remover AI 3.3""). Unversioned latest dmg; version read live from product page."
akvis-frames	row	akvis-frames | AKVIS Frames | Adds decorative frames and edge effects to photos | dmg | direct | https://akvis.com/en/frames/index.php | url=https://akvis-dl.sfo2.cdn.digitaloceanspaces.com/akvis-frames-app.dmg;vers=https://akvis.com/en/frames/index.php;vregex=Frames (\d+(?:\.\d+)+)	high	"AKVIS family. Verified dmg HTTP 200 at akvis-dl.sfo2.cdn.digitaloceanspaces.com/akvis-frames-app.dmg. Version 8.1 (download.php lists ""Frames 8.1""). Unversioned latest dmg; version read live from product page."
alarm-clock-pro	row	alarm-clock-pro | Alarm Clock Pro | Schedules alarms, reminders, and timed events with audio playback | dmg | direct | https://www.koingosw.com/products/alarmclockpro/ | url=https://www.koingosw.com/products/alarmclockpro/download/alarmclockpro.dmg;vers=https://www.koingosw.com/products/alarmclockpro/;vregex=Version (\d+(?:\.\d+)+)	high	"Koingo Software. Verified dmg HTTP 200 (application/x-apple-diskimage). Version 15.9.3 (""Version 15.9.3 - Released December 22, 2025"") on product page. Unversioned latest dmg; version read live from product page."
alivecolors	row	alivecolors | AliveColors | Image editor with painting, retouching, and AI-based effects | dmg | direct | https://alivecolors.com/en/index.php | url=https://alivecolors.sfo2.cdn.digitaloceanspaces.com/alivecolors.dmg;vers=https://alivecolors.com/en/download.php;vregex=AliveColors (\d+(?:\.\d+)+)	med	"AKVIS-made, separate domain. Verified dmg HTTP 200 (application/x-apple-diskimage, 2.76 GB) at alivecolors.sfo2.cdn.digitaloceanspaces.com/alivecolors.dmg. Version 11.2 (build 11.2.5301, May 2026). Download page shows ""Mac-version will be available soon"" caption but the dmg file is live and current -> med confidence. verified: auto-added (CDN host != homepage)."
amazon-corretto-11	review		high	duplicate of existing Homebrew cask corretto@11
amazon-corretto-17	review		high	duplicate of existing Homebrew cask corretto@17
