slug	status	registry_row	confidence	notes
cakebrew	row	cakebrew | Cakebrew | Graphical interface to manage the Homebrew package manager | zip | direct | https://www.cakebrew.com | url=https://cakebrew-377a.kxcdn.com/cakebrew-{v}.zip;vers=https://www.cakebrew.com/appcast/profileInfo.php;vregex=[0-9]+(\.[0-9]+)+	high	Verified live: https://cakebrew-377a.kxcdn.com/cakebrew-1.3.zip = HTTP 200 application/zip. Version 1.3 (build 594) from Sparkle appcast profileInfo.php (shortVersionString). CDN host != homepage host so verified: auto-added. Homepage cakebrew.com 200.
capture-one	custom		high	Versioned dmg verified live: https://downloads.captureone.pro/d/mac/5b34e26779686357603e50d52e700a0b4b946199/CaptureOne.Mac.16.8.1.5.dmg = HTTP 200 application/x-apple-diskimage. Version 16.8.1.5. Livecheck (sparkle): https://www.captureone.com/update/capture-one-mac.xml (item[1] enclosure). CUSTOM because the download URL contains a per-release hash path segment (/d/mac/<hash>/) not derivable from version, so url cannot be templated.
cato-client	custom		high	Versioned pkg verified live: https://clients.catonetworks.com/macos/5.13.0.10208/CatoClient.pkg = HTTP 200 (binary). Version 5.13.0.10208 (Installomator reports 5.13.0). Livecheck: 301 redirect from https://clientdownload.catonetworks.com/public/clients/CatoClient.pkg -> Location header carries version (header_match). CUSTOM because version lives in a redirect Location header (not an HTML page), so the direct/page_match source does not fit; needs :header_match livecheck. Homepage catonetworks.com/sase 200.
cloudya	custom		high	Versioned zip verified live: https://cdn.cloudya.com/cloudya-2.2.0-mac.zip = HTTP 200 application/zip. Version 2.2.0 from NFON downloads page. CUSTOM: appInDmgInZip - the zip contains cloudya-2.2.0.dmg (a DMG nested in the ZIP) which contains the .app; needs nested_container handling, not a plain zip/dmg artifact. Note "nested". Homepage nfon.com/de/service/downloads 200.
code42	custom		high	latest-mac.dmg 302-redirects to https://download-preservation.code42.com/installs/agent/cloud/12.6.0/33/install/Code42_12.6.0_15252000061260_33_Mac-x86-64.dmg = HTTP 200 (binary). Version 12.6.0. CUSTOM: pkgInDmg, x86-64-only build, filename embeds non-derivable build tokens (12.6.0_15252000061260_33) so url not templatable; resolve via the latest-mac.dmg redirect.
cricut-design-space	custom		high	Current version 9.72.68 confirmed live via Cricut API: https://apis.cricut.com/desktopdownload/UpdateJson?operatingSystem=osxnative&shard=a -> result -> latest.json rolloutVersion=9.72.68. Download is a time-limited SIGNED CloudFront URL (https://staticcontent.cricut.com/a/software/osx-native/CricutDesignSpace-Install.dmg?Expires=...&Signature=...) obtained via https://apis.cricut.com/desktopdownload/InstallerFile?...&fileName=CricutDesignSpace-Install-v9.72.68.dmg. CUSTOM: signed/expiring URL cannot be templated into a stable cask url.
daylite	custom		high	Latest version 2026.21.0 (build 20819) from Sparkle appcast https://www.daylite.app/appcasts/daylite.xml (was marketcircle.com/appcasts/daylite.xml, 301). Versioned enclosure verified present: https://www.daylite.app/appcasts/releases/daylitedma-releases-2026.21.0.b20819.2026-05-26-0955.zip. CUSTOM: enclosure URL embeds a build date stamp (.b20819.2026-05-26-0955) not derivable from version; the stable alias https://www.marketcircle.com/downloads/latest-daylite redirects to an unversioned latest-daylite.zip. Livecheck via the appcast.
dedoose	custom		high	Verified live: https://downloads.dedoose.com/dedoose-app-releases/Dedoose-Mac.dmg = HTTP 200; content-disposition filename "Dedoose-Mac-v10.1.5.dmg" gives version 10.1.5. CUSTOM: download URL is unversioned (always-latest); version only available from the content-disposition header -> needs :header_match livecheck, which the direct/page_match source does not provide. Homepage dedoose.com 200.
depnotify	custom		high	Verified live: https://files.jamfconnect.com/DEPNotify.pkg = HTTP 200 (binary). Current version 1.1.6 from GitHub releases https://github.com/jamf/DEPNotify/releases (asset DEPNotify.pkg). CUSTOM: pkg URL is unversioned (always-latest) and hosted off-GitHub at files.jamfconnect.com, while the version/livecheck source is the GitHub releases page - does not fit github_tag (asset not on the release) nor versioned direct.
displaylink-manager	custom		high	Verified live: https://www.synaptics.com/sites/default/files/exe_files/2026-05/DisplayLink%20Manager%20Graphics%20Connectivity16.1-EXE.pkg = HTTP 200. Version 16.1 (released 2026-05-22) from https://www.synaptics.com/products/displaylink-graphics/downloads/macos. CUSTOM: pkg URL path embeds a non-derivable year-month folder (2026-05) and a space-laden filename; must be scraped from the product page (dynamic-scrape), so url is not templatable from version alone.
